Question,Answer
What is (are) Gum (Periodontal) Disease ?,"An Infection of the Gums and Surrounding Tissues Gum (periodontal) disease is an infection of the gums and surrounding tissues that hold teeth in place. The two forms of gum disease are gingivitis, a mild form that is reversible with good oral hygiene, and periodontitis, a more severe form that can damage the soft tissues and bone that support teeth. If left untreated, periodontitis can lead to tooth loss. In its early stages, gum disease is usually painless, and many people are not aware that they have it. In more advanced cases, gum disease can cause sore gums and pain when chewing. Not A Normal Part of Aging The good news is that gum disease can be prevented. It does not have to be a part of growing older. With thorough brushing and flossing and regular professional cleanings by your dentist, you can reduce your risk of developing gum disease as you age. If you have been treated for gum disease, sticking to a proper oral hygiene routine and visiting your dentist for regular cleanings can minimize the chances that it will come back. Plaque Buildup Can Form Tartar Gum disease is typically caused by poor brushing and flossing habits that allow dental plaque -- a sticky film of bacteria -- to build up on the teeth. Plaque that is not removed can harden and form tartar that brushing doesn't clean. Only a professional cleaning by a dentist or dental hygienist can remove tartar. Gum disease can range from simple gum inflammation to serious disease. The two forms of gum disease are gingivitis and periodontitis. Gingivitis and Periodontitis In gingivitis, the gums become red, swollen and can bleed easily. Gingivitis can usually be reversed with daily brushing and flossing, and regular cleaning by a dentist or dental hygienist. This form of gum disease does not include any loss of bone and tissue that hold teeth in place. When gingivitis is not treated, it can advance to periodontitis. In periodontitis, gums pull away from the teeth and form spaces (called ""pockets"") that become infected. The body's immune system fights the bacteria as the plaque spreads and grows below the gum line. Bacterial toxins and the body's natural response to infection start to break down the bone and connective tissue that hold teeth in place. If not treated, the bones, gums, and tissue that support the teeth are destroyed. The teeth may eventually become loose and may have to be removed."
What is (are) Gum (Periodontal) Disease ?,"Gum disease is an infection of the tissues that hold your teeth in place. In its early stages, it is usually painless, and many people are not aware that they have it. But in more advanced stages, gum disease can lead to sore or bleeding gums, painful chewing problems, and even tooth loss."
What causes Gum (Periodontal) Disease ?,Gum disease is caused by dental plaque -- a sticky film of bacteria that builds up on teeth. Regular brushing and flossing help get rid of plaque. But plaque that is not removed can harden and form tartar that brushing doesn't clean. Only a professional cleaning by a dentist or dental hygienist can remove tartar.
What is (are) Gum (Periodontal) Disease ?,"Gingivitis is inflammation of the gums. In gingivitis, the gums become red, swollen and can bleed easily. Gingivitis is a mild form of gum disease. It can usually be reversed with daily brushing and flossing, and regular cleaning by a dentist or dental hygienist. This form of gum disease does not include any loss of bone and tissue that hold teeth in place."
What is (are) Gum (Periodontal) Disease ?,"When gingivitis is not treated, it can advance to periodontitis (which means ""inflammation around the tooth."") In periodontitis, gums pull away from the teeth and form ""pockets"" that become infected. The body's immune system fights the bacteria as the plaque spreads and grows below the gum line. Bacterial toxins and the body's enzymes fighting the infection actually start to break down the bone and tissue that hold teeth in place. If not treated, the bones, gums, and tissue that support the teeth are destroyed. The teeth may eventually become loose and have to be removed."
What are the treatments for Gum (Periodontal) Disease ?,"If left untreated, gum disease can lead to tooth loss. Gum disease is the leading cause of tooth loss in older adults."
What are the symptoms of Gum (Periodontal) Disease ?,People are not often aware they have gum disease until it is advanced. Any of these symptoms may be a sign of a serious problem and should be checked by a dentist. - bad breath that won't go away  - red or swollen gums  - tender or bleeding gums  - painful chewing  - loose teeth  - sensitive teeth  - receding gums or longer appearing teeth bad breath that won't go away red or swollen gums tender or bleeding gums painful chewing loose teeth sensitive teeth receding gums or longer appearing teeth Sometimes gum disease has no clear symptoms.
What are the treatments for Gum (Periodontal) Disease ?,"Treatments may include deep cleaning, medications, surgery, and bone and tissue grafts."
What are the treatments for Gum (Periodontal) Disease ?,"In deep cleaning, the dentist, periodontist, or dental hygienist removes the plaque through a method called scaling and root planing. Scaling means scraping off the tartar from above and below the gum line. Root planing gets rid of rough spots on the tooth root where the germs gather, and helps remove bacteria that contribute to the disease."
What is (are) Age-related Macular Degeneration ?,"Age-related macular degeneration, also known as AMD, is an eye disease that affects the macula, a part of the retina. The retina sends light from the eye to the brain, and the macula allows you to see fine detail. AMD Blurs Central Vision AMD blurs the sharp central vision you need for straight-ahead activities such as reading, sewing, and driving. AMD causes no pain. How AMD Progresses In some cases, AMD advances so slowly that people notice little change in their vision. In others, the disease progresses faster and may lead to a loss of vision in both eyes. AMD is a common eye condition among people age 50 and older. It is a leading cause of vision loss in older adults. Two Forms of AMD There are two forms of age-related macular degeneration -- dry and wet."
Who is at risk for Age-related Macular Degeneration? ?,"Risk Increases With Age AMD is most common in older people, but it can occur during middle age. The risk increases with age. Other Risk Factors Other risk factors include - Smoking  - Obesity  - Race. Whites are much more likely to lose vision from AMD than African-Americans.  - Family history. People with a family history of AMD are at higher risk of getting the disease.  - Gender. Women appear to be at greater risk than men. Smoking Obesity Race. Whites are much more likely to lose vision from AMD than African-Americans. Family history. People with a family history of AMD are at higher risk of getting the disease. Gender. Women appear to be at greater risk than men."
What is (are) Age-related Macular Degeneration ?,"Age-related macular degeneration, or AMD, is a disease that blurs the sharp, central vision you need for straight-ahead activities such as reading, sewing, and driving. AMD affects the macula, the part of the eye that allows you to see fine detail. AMD causes no pain."
What is (are) Age-related Macular Degeneration ?,"Wet AMD occurs when abnormal blood vessels behind the retina start to grow under the macula. With wet AMD, loss of central vision can occur quickly. Wet AMD is considered to be advanced AMD and is more severe than the dry form."
What is (are) Age-related Macular Degeneration ?,"Dry AMD occurs when the light-sensitive cells in the macula slowly break down, gradually blurring central vision in the affected eye. As dry AMD gets worse, you may see a blurred spot in the center of your vision. Over time, as less of the macula functions, central vision in the affected eye can be lost. If you have vision loss from dry AMD in one eye only, you may not notice any changes in your overall vision. With the other eye seeing clearly, you can still drive, read, and see fine details. You may notice changes in your vision only if AMD affects both eyes. If you experience blurry vision, see an eye care professional for a comprehensive dilated eye exam."
What is (are) Age-related Macular Degeneration ?,"Dry AMD has three stages -- early AMD, intermediate AMD, and advanced dry AMD. All of these may occur in one or both eyes. People with early dry AMD have either several small drusen or a few medium-sized drusen. Drusen are yellow deposits under the retina which often are found in people over age 50. People with early AMD have no symptoms and no vision loss. People with intermediate dry AMD have either many medium-sized drusen or one or more large drusen. Some people see a blurred spot in the center of their vision. More light may be needed for reading and other tasks. In addition to drusen, people with advanced dry AMD have a breakdown of light-sensitive cells and supporting tissue in the macula. This breakdown can cause a blurred spot in the center of your vision. Over time, the blurred spot may get bigger and darker, taking more of your central vision. You may have difficulty reading or recognizing faces until they are very close to you."
What is (are) Age-related Macular Degeneration ?,Drusen are yellow deposits under the retina. They often are found in people over age 50. Your eye care professional can detect drusen during a comprehensive dilated eye exam.
What causes Age-related Macular Degeneration ?,"Drusen alone do not usually cause vision loss. In fact, scientists are unclear about the connection between drusen and AMD. They do know that an increase in the size or number of drusen raises a person's risk of developing either advanced dry AMD or wet AMD. These changes can cause serious vision loss."
What are the symptoms of Age-related Macular Degeneration ?,"An early symptom of wet AMD is that straight lines appear wavy. If you notice this condition or other changes to your vision, contact your eye care professional at once. You need a comprehensive dilated eye exam."
What are the symptoms of Age-related Macular Degeneration ?,"The most common symptom of dry AMD is slightly blurred vision. You may have difficulty recognizing faces. You may need more light for reading and other tasks. Dry AMD generally affects both eyes, but vision can be lost in one eye while the other eye seems unaffected. One of the most common early signs of dry AMD is drusen. Drusen are yellow deposits under the retina. They often are found in people over age 50. Your eye care professional can detect drusen during a comprehensive dilated eye exam."
Who is at risk for Age-related Macular Degeneration? ?,"AMD is most common in older people, but it can occur during middle age. The risk increases with age. Other risk factors include smoking, obesity, white race, family history of AMD, and female gender."
What is (are) Age-related Macular Degeneration ?,"The daily amounts used by the study researchers were 500 milligrams of vitamin C, 400 International Units of vitamin E, 15 milligrams of beta-carotene, 80 milligrams of zinc as zinc oxide, and 2 milligrams of copper as cupric oxide. Copper was added to the AREDS formulation containing zinc to prevent copper deficiency anemia, a condition associated with high levels of zinc intake."
what research (or clinical trials) is being done for Age-related Macular Degeneration ?,"The National Eye Institute scientists are - studying the possibility of transplanting healthy cells into a diseased retina   - evaluating families with a history of AMD to understand genetic and hereditary factors that may cause the disease  - looking at certain anti-inflammatory treatments for the wet form of AMD. studying the possibility of transplanting healthy cells into a diseased retina evaluating families with a history of AMD to understand genetic and hereditary factors that may cause the disease looking at certain anti-inflammatory treatments for the wet form of AMD. This research should provide better ways to detect, treat, and prevent vision loss in people with AMD."
What is (are) Age-related Macular Degeneration ?,"National Eye Institute  National Institutes of Health  2020 Vision Place  Bethesda, MD 20892-3655  301-496-5248  E-mail: 2020@nei.nih.gov  www.nei.nih.gov Association for Macular Diseases  210 East 64th Street, 8th Floor  New York, NY 10021-7471  212-605-3719 Foundation Fighting Blindness  Executive Plaza 1, Suite 800  11435 Cronhill Drive  Owings Mill, MD 21117-2220  1-888-394-3937  410-785-1414 Macular Degeneration Partnership  6222 Wilshire Boulevard, Suite 260  Los Angeles, CA 90048  1-888-430-9898  310-623-4466  www.amd.org"
What is (are) Diabetes ?,"Prediabetes means your blood glucose levels are higher than normal but not high enough for a diagnosis of diabetes. In 2012, about 86 million people in the U.S. had prediabetes, and 51% of those 65 or older had prediabetes. People with prediabetes are at an increased risk for developing type 2 diabetes and for heart disease and stroke. The good news is that if you have prediabetes, you can reduce your risk of getting type 2 diabetes. With modest weight loss and moderate physical activity, you can delay or prevent type 2 diabetes.  Learn more about prediabetes here."
What are the symptoms of Diabetes ?,"Many people with diabetes experience one or more symptoms, including extreme thirst or hunger, a frequent need to urinate and/or fatigue. Some lose weight without trying. Additional signs include sores that heal slowly, dry, itchy skin, loss of feeling or tingling in the feet and blurry eyesight. Some people with diabetes, however, have no symptoms at all."
